x,perturbed_x,y,wikidata_property,perturbed_question,perturbed_yes_no_question,original_question,original_yes_no_question
Albert Schweitzer,Karl Jaspers,Jean-Paul Sartre,relative,What is the familial connection between Karl Jaspers and Jean-Paul Sartre?,Do Karl Jaspers and Jean-Paul Sartre have a familial connection?,What is the familial connection between Albert Schweitzer and Jean-Paul Sartre?,Do Albert Schweitzer and Jean-Paul Sartre have a familial connection?
Sam Saunders,Kathryn Newton,Arnold Palmer,relative,What is the familial connection between Kathryn Newton and Arnold Palmer?,Do Kathryn Newton and Arnold Palmer have a familial connection?,What is the familial connection between Sam Saunders and Arnold Palmer?,Do Sam Saunders and Arnold Palmer have a familial connection?
"Princess Maud, Countess of Southesk",Claude I Carondelet,Victoria,relative,What is the familial connection between Claude I Carondelet and Victoria?,Do Claude I Carondelet and Victoria have a familial connection?,"What is the familial connection between Princess Maud, Countess of Southesk and Victoria?","Do Princess Maud, Countess of Southesk and Victoria have a familial connection?"
nanda,Rhula,Gautama Buddha,relative,What is the familial connection between Rhula and Gautama Buddha?,Do Rhula and Gautama Buddha have a familial connection?,What is the familial connection between nanda and Gautama Buddha?,Do nanda and Gautama Buddha have a familial connection?
Abu Tharwan,Abu Dharr al-Ghifari,Muhammad,relative,What is the familial connection between Abu Dharr al-Ghifari and Muhammad?,Do Abu Dharr al-Ghifari and Muhammad have a familial connection?,What is the familial connection between Abu Tharwan and Muhammad?,Do Abu Tharwan and Muhammad have a familial connection?
Malaika Arora,Jenna Jameson,Salman Khan,relative,What is the familial connection between Jenna Jameson and Salman Khan?,Do Jenna Jameson and Salman Khan have a familial connection?,What is the familial connection between Malaika Arora and Salman Khan?,Do Malaika Arora and Salman Khan have a familial connection?
Imran Khan,Ranbir Kapoor,Aamir Khan,relative,What is the familial connection between Ranbir Kapoor and Aamir Khan?,Do Ranbir Kapoor and Aamir Khan have a familial connection?,What is the familial connection between Imran Khan and Aamir Khan?,Do Imran Khan and Aamir Khan have a familial connection?
David Schumacher,Janne Ahonen,Michael Schumacher,relative,What is the familial connection between Janne Ahonen and Michael Schumacher?,Do Janne Ahonen and Michael Schumacher have a familial connection?,What is the familial connection between David Schumacher and Michael Schumacher?,Do David Schumacher and Michael Schumacher have a familial connection?
Charlotte Diana,Lee Seung-bok,"Diana, Princess of Wales",relative,"What is the familial connection between Lee Seung-bok and Diana, Princess of Wales?","Do Lee Seung-bok and Diana, Princess of Wales have a familial connection?","What is the familial connection between Charlotte Diana and Diana, Princess of Wales?","Do Charlotte Diana and Diana, Princess of Wales have a familial connection?"
Christopher Schwarzenegger,Richard Steven Horvitz,John F. Kennedy,relative,What is the familial connection between Richard Steven Horvitz and John F. Kennedy?,Do Richard Steven Horvitz and John F. Kennedy have a familial connection?,What is the familial connection between Christopher Schwarzenegger and John F. Kennedy?,Do Christopher Schwarzenegger and John F. Kennedy have a familial connection?
Li Sui Ling,Wolfgang Hildesheimer,Emperor Gaozu of Tang,relative,What is the familial connection between Wolfgang Hildesheimer and Emperor Gaozu of Tang?,Do Wolfgang Hildesheimer and Emperor Gaozu of Tang have a familial connection?,What is the familial connection between Li Sui Ling and Emperor Gaozu of Tang?,Do Li Sui Ling and Emperor Gaozu of Tang have a familial connection?
Li Daozong,Jack Bauer,Emperor Taizong of Tang,relative,What is the familial connection between Jack Bauer and Emperor Taizong of Tang?,Do Jack Bauer and Emperor Taizong of Tang have a familial connection?,What is the familial connection between Li Daozong and Emperor Taizong of Tang?,Do Li Daozong and Emperor Taizong of Tang have a familial connection?
Jules Lacroix,Victor Hugo,Honor de Balzac,relative,What is the familial connection between Victor Hugo and Honor de Balzac?,Do Victor Hugo and Honor de Balzac have a familial connection?,What is the familial connection between Jules Lacroix and Honor de Balzac?,Do Jules Lacroix and Honor de Balzac have a familial connection?
Mu Ying,Napoleon,Hongwu Emperor,relative,What is the familial connection between Napoleon and Hongwu Emperor?,Do Napoleon and Hongwu Emperor have a familial connection?,What is the familial connection between Mu Ying and Hongwu Emperor?,Do Mu Ying and Hongwu Emperor have a familial connection?
Michael Reagan,Adam Carolla,Ronald Reagan,relative,What is the familial connection between Adam Carolla and Ronald Reagan?,Do Adam Carolla and Ronald Reagan have a familial connection?,What is the familial connection between Michael Reagan and Ronald Reagan?,Do Michael Reagan and Ronald Reagan have a familial connection?
Captain Nemo,Kathryn Uhrich,Tipu Sultan,relative,What is the familial connection between Kathryn Uhrich and Tipu Sultan?,Do Kathryn Uhrich and Tipu Sultan have a familial connection?,What is the familial connection between Captain Nemo and Tipu Sultan?,Do Captain Nemo and Tipu Sultan have a familial connection?
Wolfgang Zimmerer,Franz Schelle,Maria Hfl-Riesch,relative,What is the familial connection between Franz Schelle and Maria Hfl-Riesch?,Do Franz Schelle and Maria Hfl-Riesch have a familial connection?,What is the familial connection between Wolfgang Zimmerer and Maria Hfl-Riesch?,Do Wolfgang Zimmerer and Maria Hfl-Riesch have a familial connection?
Thomas Rebensburg,Konstantin Wecker,Viktoria Rebensburg,relative,What is the familial connection between Konstantin Wecker and Viktoria Rebensburg?,Do Konstantin Wecker and Viktoria Rebensburg have a familial connection?,What is the familial connection between Thomas Rebensburg and Viktoria Rebensburg?,Do Thomas Rebensburg and Viktoria Rebensburg have a familial connection?
Toni Nadal,Jana Novotn,Rafael Nadal,relative,What is the familial connection between Jana Novotn and Rafael Nadal?,Do Jana Novotn and Rafael Nadal have a familial connection?,What is the familial connection between Toni Nadal and Rafael Nadal?,Do Toni Nadal and Rafael Nadal have a familial connection?
Josep Maria Valls i Vicens,Barack Obama,Manuel Valls,relative,What is the familial connection between Barack Obama and Manuel Valls?,Do Barack Obama and Manuel Valls have a familial connection?,What is the familial connection between Josep Maria Valls i Vicens and Manuel Valls?,Do Josep Maria Valls i Vicens and Manuel Valls have a familial connection?
Grace Matthews,Peter Connelly,"Catherine, Princess of Wales",relative,"What is the familial connection between Peter Connelly and Catherine, Princess of Wales?","Do Peter Connelly and Catherine, Princess of Wales have a familial connection?","What is the familial connection between Grace Matthews and Catherine, Princess of Wales?","Do Grace Matthews and Catherine, Princess of Wales have a familial connection?"
Bruno Senna,Giuseppe Farina,Ayrton Senna,relative,What is the familial connection between Giuseppe Farina and Ayrton Senna?,Do Giuseppe Farina and Ayrton Senna have a familial connection?,What is the familial connection between Bruno Senna and Ayrton Senna?,Do Bruno Senna and Ayrton Senna have a familial connection?
Davina Bowes-Lyon,Claude I Carondelet,"Queen Elizabeth, The Queen Mother",relative,"What is the familial connection between Claude I Carondelet and Queen Elizabeth, The Queen Mother?","Do Claude I Carondelet and Queen Elizabeth, The Queen Mother have a familial connection?","What is the familial connection between Davina Bowes-Lyon and Queen Elizabeth, The Queen Mother?","Do Davina Bowes-Lyon and Queen Elizabeth, The Queen Mother have a familial connection?"
George Hamilton Kenrick,George Thomas Bethune-Baker,Neville Chamberlain,relative,What is the familial connection between George Thomas Bethune-Baker and Neville Chamberlain?,Do George Thomas Bethune-Baker and Neville Chamberlain have a familial connection?,What is the familial connection between George Hamilton Kenrick and Neville Chamberlain?,Do George Hamilton Kenrick and Neville Chamberlain have a familial connection?
Marek Stratil,Piet Kraak,Daniel Pudil,relative,What is the familial connection between Piet Kraak and Daniel Pudil?,Do Piet Kraak and Daniel Pudil have a familial connection?,What is the familial connection between Marek Stratil and Daniel Pudil?,Do Marek Stratil and Daniel Pudil have a familial connection?
Solo Sikoa,Tanishq Abraham,Dwayne Johnson,relative,What is the familial connection between Tanishq Abraham and Dwayne Johnson?,Do Tanishq Abraham and Dwayne Johnson have a familial connection?,What is the familial connection between Solo Sikoa and Dwayne Johnson?,Do Solo Sikoa and Dwayne Johnson have a familial connection?
Alcia Aveiro,Ashley Harkleroad,Cristiano Ronaldo,relative,What is the familial connection between Ashley Harkleroad and Cristiano Ronaldo?,Do Ashley Harkleroad and Cristiano Ronaldo have a familial connection?,What is the familial connection between Alcia Aveiro and Cristiano Ronaldo?,Do Alcia Aveiro and Cristiano Ronaldo have a familial connection?
Sandra Nelson,George Washington,Jos Ramos-Horta,relative,What is the familial connection between George Washington and Jos Ramos-Horta?,Do George Washington and Jos Ramos-Horta have a familial connection?,What is the familial connection between Sandra Nelson and Jos Ramos-Horta?,Do Sandra Nelson and Jos Ramos-Horta have a familial connection?
Lejzer Zamenhof,Leo Tolstoy,L. L. Zamenhof,relative,What is the familial connection between Leo Tolstoy and L. L. Zamenhof?,Do Leo Tolstoy and L. L. Zamenhof have a familial connection?,What is the familial connection between Lejzer Zamenhof and L. L. Zamenhof?,Do Lejzer Zamenhof and L. L. Zamenhof have a familial connection?
Mary Abbott,Louise Nevelson,John Adams,relative,What is the familial connection between Louise Nevelson and John Adams?,Do Louise Nevelson and John Adams have a familial connection?,What is the familial connection between Mary Abbott and John Adams?,Do Mary Abbott and John Adams have a familial connection?
John Wayles Jefferson,Alexandre Ruiz,Thomas Jefferson,relative,What is the familial connection between Alexandre Ruiz and Thomas Jefferson?,Do Alexandre Ruiz and Thomas Jefferson have a familial connection?,What is the familial connection between John Wayles Jefferson and Thomas Jefferson?,Do John Wayles Jefferson and Thomas Jefferson have a familial connection?
Zachary Taylor,William Henry Harrison,James Madison,relative,What is the familial connection between William Henry Harrison and James Madison?,Do William Henry Harrison and James Madison have a familial connection?,What is the familial connection between Zachary Taylor and James Madison?,Do Zachary Taylor and James Madison have a familial connection?
Mary Abbott,Louise Nevelson,John Quincy Adams,relative,What is the familial connection between Louise Nevelson and John Quincy Adams?,Do Louise Nevelson and John Quincy Adams have a familial connection?,What is the familial connection between Mary Abbott and John Quincy Adams?,Do Mary Abbott and John Quincy Adams have a familial connection?
Sarah Yorke Jackson,Grace Kelly,Andrew Jackson,relative,What is the familial connection between Grace Kelly and Andrew Jackson?,Do Grace Kelly and Andrew Jackson have a familial connection?,What is the familial connection between Sarah Yorke Jackson and Andrew Jackson?,Do Sarah Yorke Jackson and Andrew Jackson have a familial connection?
Jane Irwin Harrison,Ins Pertin Urien,William Henry Harrison,relative,What is the familial connection between Ins Pertin Urien and William Henry Harrison?,Do Ins Pertin Urien and William Henry Harrison have a familial connection?,What is the familial connection between Jane Irwin Harrison and William Henry Harrison?,Do Jane Irwin Harrison and William Henry Harrison have a familial connection?
